date,ticker,name,open,high,low,close,volume,return
2017-03-21,KOSDAQ,KOSDAQ 종합지수,610.7000122070312,612.1300048828125,608.6599731445312,609.72998046875,831300,0.0010178705522774223
2017-03-22,KOSDAQ,KOSDAQ 종합지수,608.3599853515625,611.489990234375,606.7999877929688,607.5700073242188,718800,-0.0035425076898313312
2017-03-23,KOSDAQ,KOSDAQ 종합지수,609.3599853515625,609.6799926757812,604.47998046875,605.530029296875,824100,-0.0033576015977614393
2017-03-24,KOSDAQ,KOSDAQ 종합지수,607.3400268554688,608.280029296875,605.5900268554688,608.1799926757812,746400,0.004376270788722492
2017-03-27,KOSDAQ,KOSDAQ 종합지수,609.6300048828125,611.030029296875,606.9600219726562,607.0700073242188,813800,-0.0018250935001642432
2017-03-28,KOSDAQ,KOSDAQ 종합지수,608.75,612.280029296875,607.97998046875,612.280029296875,806000,0.008582242426405484
2017-03-29,KOSDAQ,KOSDAQ 종합지수,614.6500244140625,614.6599731445312,612.5499877929688,613.6300048828125,788100,0.0022048336077329367
2017-03-30,KOSDAQ,KOSDAQ 종합지수,615.3400268554688,615.4299926757812,613.0900268554688,614.6799926757812,799600,0.0017111089493893061
2017-03-31,KOSDAQ,KOSDAQ 종합지수,616.2000122070312,619.47998046875,615.4299926757812,619.280029296875,775600,0.007483628352810356
2017-04-03,KOSDAQ,KOSDAQ 종합지수,621.469970703125,628.52001953125,620.3400268554688,628.52001953125,767700,0.014920536424961162
2017-04-04,KOSDAQ,KOSDAQ 종합지수,629.22998046875,629.780029296875,625.2000122070312,625.489990234375,994500,-0.004820895441222106
2017-04-05,KOSDAQ,KOSDAQ 종합지수,627.8900146484375,630.1699829101562,626.9400024414062,630.1699829101562,923700,0.007482122414185444
2017-04-06,KOSDAQ,KOSDAQ 종합지수,630.5900268554688,630.5900268554688,625.2000122070312,630.4600219726562,873400,0.00046025528090143375
2017-04-07,KOSDAQ,KOSDAQ 종합지수,632.1599731445312,633.489990234375,629.6099853515625,633.3200073242188,833200,0.004536346876704123
2017-04-10,KOSDAQ,KOSDAQ 종합지수,633.239990234375,633.239990234375,617.1599731445312,619.4099731445312,865600,-0.021963674001801214
